CASE_ID,COLLISION_DATE,MONTH,HOUR,DAY_OF_WEEK,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,COUNT_PED_INJURED,COUNT_BICYCLIST_INJURED,COUNT_MC_INJURED,COUNT_PED_KILLED,COUNT_BICYCLIST_KILLED,COUNT_MC_KILLED,STWD_VEHTYPE_AT_FAULT,COUNTY
9609177,2023-07-27,7,17,4,possible injury,0,1,unsafe lane change,sideswipe,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,FRESNO
9609178,2023-07-01,7,22,6,minor injury,0,1,unsafe speed,sideswipe,yes,no,no,1,0,0,0,0,0,Not Stated,LOS ANGELES
9609179,2023-07-11,7,13,2,possible injury,0,4,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN BERNARDINO
9609180,2023-07-22,7,17,6,possible injury,0,2,following too closely,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,FRESNO
9609181,2023-08-06,8,7,7,minor injury,0,1,wrong side of road,hit object,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,BUTTE
9609182,2023-08-04,8,18,5,minor injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,BUTTE
9609183,2023-08-07,8,16,1,minor injury,0,1,wrong side of road,hit object,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,BUTTE
9609184,2023-08-08,8,5,2,severe injury,0,1,wrong side of road,head-on,no,yes,no,0,1,0,0,0,0,Not Stated,BUTTE
9609185,2023-08-09,8,17,3,possible injury,0,3,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
9609186,2023-08-09,8,17,3,minor injury,0,1,traffic signs,broadside,no,yes,no,0,1,0,0,0,0,Bicycle,ORANGE
9609187,2023-08-11,8,16,5,minor injury,0,2,pedestrian right of way,vehicle/pedestrian,yes,no,no,2,0,0,0,0,0,Passenger Car/Station Wagon,SANTA CLARA
9609188,2023-08-03,8,18,4,minor injury,0,2,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
9609189,2023-08-01,8,16,2,minor injury,0,1,pedestrian right of way,vehicle/pedestrian,yes,no,no,1,0,0,0,0,0,Passenger Car/Station Wagon,SANTA CLARA
9609190,2023-08-08,8,19,2,minor injury,0,1,DUI,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SANTA CLARA
9609191,2023-08-07,8,13,1,minor injury,0,1,other than driver or pedestrian,hit object,no,no,no,0,0,0,0,0,0,Not Stated,SANTA CLARA
9609192,2023-08-01,8,9,2,minor injury,0,1,traffic signs,vehicle/pedestrian,yes,no,no,1,0,0,0,0,0,Passenger Car/Station Wagon,SANTA CLARA
9609193,2023-08-08,8,0,2,minor injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
9609194,2023-08-03,8,22,4,minor injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609199,2023-08-10,8,19,4,minor injury,0,1,unsafe speed,other,no,no,yes,0,0,1,0,0,0,Motorcycle/Scooter,SAN DIEGO
9609200,2023-08-05,8,19,6,minor injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609212,2023-06-28,6,9,3,possible injury,0,3,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN BERNARDINO
9609225,2023-08-02,8,10,3,possible injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,FRESNO
9609226,2023-08-09,8,16,3,minor injury,0,1,DUI,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609227,2023-08-12,8,13,6,minor injury,0,1,automobile right of way,sideswipe,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
9609228,2023-08-08,8,21,2,minor injury,0,1,improper turning,other,no,no,yes,0,0,1,0,0,0,Motorcycle/Scooter,ORANGE
9609229,2023-08-10,8,6,4,possible injury,0,1,other than driver or pedestrian,rear end,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609230,2023-08-13,8,23,7,possible injury,0,1,improper turning,head-on,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
9609231,2023-08-08,8,18,2,severe injury,0,1,pedestrian right of way,vehicle/pedestrian,yes,no,no,1,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609232,2023-08-01,8,14,2,severe injury,0,3,traffic signs,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609233,2023-08-03,8,18,4,minor injury,0,1,other than driver or pedestrian,rear end,no,yes,no,0,1,0,0,0,0,Not Stated,LOS ANGELES
9609234,2023-08-04,8,14,5,possible injury,0,1,unknown,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609236,2023-08-05,8,22,6,minor injury,0,3,DUI,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN BERNARDINO
9609237,2023-06-12,6,7,1,possible injury,0,1,unsafe lane change,sideswipe,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609238,2023-06-25,6,8,7,possible injury,0,3,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609239,2023-06-06,6,13,2,severe injury,0,2,improper turning,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,LOS ANGELES
9609241,2023-06-23,6,17,5,minor injury,0,2,automobile right of way,unknown,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
9609242,2023-06-03,6,18,6,possible injury,0,1,unknown,broadside,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609243,2023-06-06,6,13,2,possible injury,0,1,automobile right of way,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
9609244,2023-06-16,6,14,5,possible injury,0,1,unsafe speed,rear end,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,ORANGE
9609245,2023-06-16,6,1,5,minor injury,0,1,improper turning,rear end,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609246,2023-06-01,6,16,4,possible injury,0,1,automobile right of way,sideswipe,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SAN DIEGO
9609247,2023-06-30,6,11,5,possible injury,0,1,other than driver or pedestrian,hit object,no,no,no,0,0,0,0,0,0,Not Stated,SANTA CLARA
9609248,2023-06-17,6,21,6,minor injury,0,1,DUI,broadside,no,no,no,0,0,0,0,0,0,Passenger Car/Station Wagon,SANTA CLARA
9609249,2023-06-10,6,14,6,possible injury,0,1,unsafe starting or backing,broadside,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609250,2023-06-14,6,17,3,minor injury,0,1,improper turning,other,no,yes,no,0,1,0,0,0,0,Bicycle,SANTA CLARA
9609251,2023-06-25,6,21,7,possible injury,0,1,automobile right of way,other,no,yes,no,0,1,0,0,0,0,Not Stated,LOS ANGELES
9609252,2023-06-26,6,7,1,possible injury,0,1,other than driver or pedestrian,sideswipe,no,no,no,0,0,0,0,0,0,Not Stated,LOS ANGELES
9609294,2023-05-08,5,13,1,possible injury,0,1,improper turning,overturned,no,no,yes,0,0,1,0,0,0,Motorcycle/Scooter,SAN BERNARDINO
