CASE_ID,COUNT_BICYCLIST_INJURED,COUNT_BICYCLIST_KILLED,NUMBER_INJURED,NUMBER_KILLED,TYPE_OF_COLLISION,PCF_VIOL_CATEGORY,STWD_VEHTYPE_AT_FAULT,INTERSECTION,LIGHTING,COUNTY
9084280,1,0,1,0,head-on,traffic signs,Passenger Car/Station Wagon,yes,dusk-dawn,LOS ANGELES
6774507,1,0,1,0,broadside,automobile right of way,Not Stated,yes,daylight,SAN DIEGO
8875444,1,0,1,0,broadside,wrong side of road,Bicycle,no,daylight,SANTA CLARA
91235617,1,0,1,0,other,improper turning,Bicycle,no,dark street lights,SACRAMENTO
6953146,1,0,1,0,overturned,unknown,Not Stated,no,daylight,SAN DIEGO
6417051,1,0,1,0,rear end,traffic signs,Not Stated,yes,dark street lights,BUTTE
9496992,1,0,1,0,broadside,unsafe lane change,Bicycle,no,daylight,LOS ANGELES
8698121,1,0,1,0,sideswipe,other hazardous violation,Passenger Car/Station Wagon,yes,daylight,SAN FRANCISCO
8964477,1,0,1,0,head-on,wrong side of road,Bicycle,no,daylight,SAN DIEGO
9075955,1,0,1,0,sideswipe,improper turning,Bicycle,yes,daylight,LOS ANGELES
8677820,1,0,1,0,other,unsafe speed,Bicycle,no,daylight,ORANGE
92122220,1,0,1,0,hit object,wrong side of road,Bicycle,no,daylight,YUBA
7161786,1,0,1,0,head-on,other hazardous violation,Passenger Car/Station Wagon,no,daylight,FRESNO
7002290,1,0,1,0,sideswipe,unsafe lane change,Other Bus,no,daylight,SACRAMENTO
7020360,1,0,1,0,vehicle/pedestrian,unknown,Not Stated,yes,daylight,SANTA CLARA
9295218,1,0,1,0,hit object,improper turning,Not Stated,no,daylight,LOS ANGELES
8680131,1,0,1,0,other,improper turning,Passenger Car/Station Wagon,yes,daylight,LOS ANGELES
8518043,1,0,1,0,broadside,unsafe starting or backing,Not Stated,no,daylight,LOS ANGELES
9554131,1,0,1,0,broadside,automobile right of way,Passenger Car/Station Wagon,yes,dusk-dawn,SAN FRANCISCO
8716860,1,0,1,0,unknown,other hazardous violation,Bicycle,yes,daylight,SANTA CLARA
